,Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy,Es=f,Nq=f,Spy
106,2022-10-03,3690.25,11285.75,366.6099853515625,3711.75,11358.25,368.54998779296875,3571.75,10890.75,359.2099914550781,3593.25,11030.0,361.0799865722656,2315515,757581,89756500.0
107,2022-10-04,3803.25,11640.75,377.9700012207031,3808.75,11675.0,378.0,3686.25,11281.5,366.57000732421875,3696.5,11314.5,372.3999938964844,2381497,772885,103602800.0
108,2022-10-05,3794.0,11623.75,377.0899963378906,3820.0,11711.0,379.4599914550781,3734.0,11366.5,370.95001220703125,3801.0,11630.25,373.3900146484375,2089198,700889,88065700.0
109,2022-10-06,3756.75,11541.75,373.20001220703125,3819.5,11729.75,378.7200012207031,3750.0,11505.25,372.67999267578125,3795.75,11628.0,375.6199951171875,2157569,773914,82333500.0
110,2022-10-07,3653.25,11101.5,362.7900085449219,3770.5,11564.5,373.2900085449219,3632.5,11043.25,360.94000244140625,3745.75,11494.5,368.9700012207031,2238683,759141,107789500.0
111,2022-10-10,3625.25,10984.5,360.0199890136719,3667.5,11136.5,364.2099914550781,3600.0,10876.75,357.6700134277344,3638.75,11067.75,363.9599914550781,2024447,757732,76042800.0
112,2022-10-11,3599.25,10845.0,357.739990234375,3653.25,11039.5,363.0299987792969,3579.0,10767.25,355.7099914550781,3624.75,10987.0,358.239990234375,2398140,833906,92482800.0
113,2022-10-12,3588.5,10840.5,356.55999755859375,3635.25,10976.75,359.82000732421875,3585.5,10805.5,356.29998779296875,3607.0,10875.0,358.1700134277344,1948173,731214,76991800.0
114,2022-10-13,3681.75,11083.75,365.9700012207031,3697.75,11142.75,367.510009765625,3502.0,10484.75,348.1099853515625,3596.25,10859.0,349.2099914550781,3288646,1050244,147254500.0
115,2022-10-14,3597.5,10744.0,357.6300048828125,3733.75,11253.5,370.260009765625,3591.25,10726.75,356.9599914550781,3680.25,11064.75,368.54998779296875,2730405,843525,123737000.0
116,2022-10-17,3689.25,11110.25,366.82000732421875,3702.5,11146.25,367.9800109863281,3590.5,10713.0,357.2799987792969,3591.0,10720.0,364.010009765625,1951998,638720,93168200.0
117,2022-10-18,3732.75,11198.75,371.1300048828125,3777.25,11431.75,375.45001220703125,3697.25,11081.5,367.5199890136719,3706.25,11161.25,375.1300048828125,2746886,832215,97162900.0
118,2022-10-19,3707.25,11153.25,368.5,3774.25,11382.75,371.8500061035156,3676.75,11049.0,365.54998779296875,3759.75,11320.25,368.989990234375,2348844,733776,79746900.0
119,2022-10-20,3675.25,11090.75,365.4100036621094,3748.0,11328.75,372.6700134277344,3666.25,11008.0,364.6099853515625,3708.0,11134.0,368.0299987792969,2403705,739672,88283100.0
120,2022-10-21,3764.0,11358.5,374.2900085449219,3773.25,11386.25,374.79998779296875,3641.5,10935.5,363.5400085449219,3677.75,11061.25,365.1199951171875,2681019,840952,131038400.0
121,2022-10-24,3809.25,11478.75,378.8699951171875,3822.0,11530.25,380.05999755859375,3736.5,11207.75,373.1099853515625,3771.0,11393.75,375.8900146484375,2109780,715016,85436900.0
122,2022-10-25,3870.25,11713.5,384.9200134277344,3874.25,11734.0,385.25,3790.0,11430.25,378.6700134277344,3803.25,11453.75,378.7900085449219,1836723,660210,78846300.0
123,2022-10-26,3841.0,11446.0,382.0199890136719,3897.5,11703.5,387.5799865722656,3824.25,11415.0,381.3500061035156,3841.0,11510.0,381.6199951171875,2118534,784638,104087300.0
124,2022-10-27,3819.5,11235.25,379.9800109863281,3870.75,11537.5,385.0,3757.5,10921.5,379.3299865722656,3844.25,11417.75,383.07000732421875,2211786,769071,81971800.0
125,2022-10-28,3911.25,11587.0,389.0199890136719,3924.25,11626.0,389.5199890136719,3776.75,11062.0,379.67999267578125,3798.25,11122.75,379.8699951171875,2084386,728261,100302000.0
126,2022-10-31,3883.0,11447.25,386.2099914550781,3914.75,11595.0,388.3999938964844,3872.25,11367.25,385.260009765625,3911.5,11592.5,386.44000244140625,2002625,607680,96631300.0
