,Date,Open,High,Low,Close,Volume,IBR,CCI,SMA50,SMA200,RSI2,RSI5,EMA8,ER,EMA_100,Stoch,StochAboveSlow,Sell,Buy,LongTradeIn,LongTradeOut,HoldLong,DaysInTrade,ProfitableCloses,RollingPnL,TradePnL,RunningMax,Drawdown
123,2022-10-13,10859.0,11142.75,10484.75,11083.75,1050244.0,0.9103343465045592,-121.00414659103924,12252.0416015625,,74.8985124619978,45.69139440911519,11117.036971644375,0.07846863969590008,12098.035570988806,48.11244979919679,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
124,2022-10-14,11064.75,11253.5,10726.75,10744.0,843525.0,0.03274798291409587,-107.51356941728837,12200.3816015625,,24.480540844370125,30.458893031486653,11034.139866834514,0.14659290922806134,12068.772613564168,20.823293172690764,False,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
125,2022-10-17,10720.0,11146.25,10713.0,11110.25,638720.0,0.9169070975187537,-79.55956461983244,12158.0116015625,,69.19221012182143,52.01500561991146,11051.053229760179,0.08339272986457591,12048.094768298506,50.24096385542169,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
126,2022-10-18,11161.25,11431.75,11081.5,11198.75,832215.0,0.33476088508208424,-9.041659991336669,12118.3216015625,,76.0460601948285,56.12310015179377,11083.874734257917,0.24047878128400435,12029.804560725202,57.34939759036145,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
127,2022-10-19,11320.25,11382.75,11049.0,11153.25,733776.0,0.31235955056179776,-13.627769591516754,12080.7566015625,,61.888666658813236,53.19629056523592,11099.29145997838,0.25207607822126976,12010.961050703434,53.69477911646587,False,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
128,2022-10-20,11134.0,11328.75,11008.0,11090.75,739672.0,0.2579890880748246,-24.556523754680715,12034.7316015625,,40.946488013994305,48.82440847820002,11097.393357760962,0.2441797509474824,11991.212525349574,48.674698795180724,False,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
129,2022-10-21,11061.25,11386.25,10935.5,11358.5,840952.0,0.9384359400998337,8.154962504175261,11995.6766015625,,84.85527872682566,64.46374246673818,11155.417056036304,0.1534786503433861,11977.656455068021,70.18072289156626,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
130,2022-10-24,11393.75,11530.25,11207.75,11478.75,715016.0,0.8403100775193798,71.96800553287775,11953.6966015625,,90.9197182646948,69.66762432033957,11227.26882136157,0.294590970049173,11966.984547240021,79.83935742971887,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
131,2022-10-25,11453.75,11734.0,11430.25,11713.5,660210.0,0.9325102880658436,137.78341435919106,11914.3416015625,,96.45776823677723,77.65313742297374,11335.320194392332,0.48984771573604063,11961.570961107214,98.35901540924554,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
132,2022-10-26,11510.0,11703.5,11415.0,11446.0,784638.0,0.10745233968804159,98.9177444386966,11870.0966015625,,40.35938919073911,56.475245549252676,11359.91570674959,0.2973968565815324,11950.577173546963,76.94616770062038,False,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
133,2022-10-27,11417.75,11537.5,10921.5,11235.25,769071.0,0.5093344155844156,4.001065455412013,11824.9366015625,,21.059960614219634,44.518390075149235,11332.212216360793,0.07561766907911155,11935.347053679423,60.07604562737642,False,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
134,2022-10-28,11122.75,11626.0,11062.0,11587.0,728261.0,0.9308510638297872,62.50383139413685,11786.2116015625,,69.59439760643605,61.516752961500444,11388.831723836172,0.4182584966509551,11927.941381325456,88.23293976385831,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
135,2022-10-31,11592.5,11595.0,11367.25,11447.25,607680.0,0.3512623490669594,68.58524145443162,11749.7866015625,,46.75345319977885,53.39278276277799,11401.81356298369,0.1883733929569592,11917.73701195755,77.04622773664198,True,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
136,2022-11-01,11455.0,11619.0,11288.75,11332.0,605362.0,0.13096139288417866,54.72256262798593,11718.2316015625,,30.333266995159732,46.99504910915634,11386.299437876205,0.07338565331130387,11905.320391589088,67.82069241544927,False,False,False,False,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
137,2022-11-02,11320.25,11460.0,10909.0,10944.5,770983.0,0.06442831215970962,-38.80055646610201,11679.1916015625,,9.023186550342658,31.25505289531462,11288.121785014826,0.0967442938245858,11884.9810466117,22.67384916748286,False,False,True,True,False,False,0,0,23462.20703125,0.0,29022.20703125,5560.0
